Subject,Body,email from,category
Your One-Time Passcode from McDonald’s,"Hello,999888 is your one-time passcode (OTP) for the McDonald’s app.You can tap on the code to have it automatically applied. If this doesn’t work, please either Copy and Paste or enter the code manually when prompted in the App.The code was requested from the McDonald’s App on xiaomi Redmi Y2.It will be valid for 4 hours.Enjoy the app!McDonald’s team",noreply@mcdonalds.com via sendgrid.net,OTP
Verify your Login,Below is your one time passcode: 650123 IBM Security,noreply@ibmsecurity.in,OTP
OTP for Pickup,"Hey, Customer This is your OTP code :) 808312 This is the OTP for starting your Cashify pickup process. Please do not share this with anyone until the pickup executive reaches your location. Team Cashify",support@cashify.in,OTP
Amazon Email Verification,It Seems you are registering for amazon and trying to verify your email. Here is the verification code. Please copy it and verify your email. code: 111789,noreply@amazon.in,OTP
Zomato Login,781190 is the OTP to login to your Zomato account. DO NOT disclose it to anyone. AlOe4TVD,noreply@zomato.com,OTP
Your One-Time Passcode from McDonald’s,"Hello,123789 is your one-time passcode (OTP) for the McDonald’s app.You can tap on the code to have it automatically applied. If this doesn’t work, please either Copy and Paste or enter the code manually when prompted in the App.The code was requested from the McDonald’s App on xiaomi Redmi Y2.It will be valid for 4 hours.Enjoy the app!McDonald’s team",noreply@mcdonalds.com via sendgrid.net,OTP
Flipkrat Email Verification,It Seems you are registering for flipkrat and trying to verify your email. Here is the verification code. Please copy it and verify your email. code: 132465,noreply@flipkrat.in,OTP
OTP Request,"Dear Customer,Your OTP is 265671. Do not share it with anyone by any means. This is confidential and to be used by you only.Warm regards,State Bank of India (SBI)",<yonobysbi@alerts.sbi.co.in>,OTP
Verify your Login,Below is your one time passcode: 113452 IBM Security,noreply@ibmsecurity.in,OTP
OTP for Pickup,"Hey, Customer This is your OTP code :) 190506 This is the OTP for starting your Cashify pickup process. Please do not share this with anyone until the pickup executive reaches your location. Team Cashify",support@cashify.in,OTP
Account Recovery,OTP 212290 Enter the OTP to recovery your lost google account,noreply@google.com,OTP
Your One-Time Passcode from McDonald’s,"Hello,109777 is your one-time passcode (OTP) for the McDonald’s app.You can tap on the code to have it automatically applied. If this doesn’t work, please either Copy and Paste or enter the code manually when prompted in the App.The code was requested from the McDonald’s App on xiaomi Redmi Y2.It will be valid for 4 hours.Enjoy the app!McDonald’s team",noreply@mcdonalds.com via sendgrid.net,OTP
310708 is your Kite 2FA OTP,"ite — 2FA OTP to login to your account PV4196 is.310708 If you did not initiate this login request, someone may be trying to gain access to your account. If you need help, please visit our Support Portal.",noreply@alertsmailer.zerodha.ne,OTP
Email Verification for DBT,"OTP for Email Verfication is 056932. Your OTP is valid for 30 minutes.Thanks and Regards,Please do not reply to this e-mail, this is a system generated email sent from an unattended mail box.",<dbt-noreply@mahaonline.gov.in>,OTP
Verify your Login,Below is your one time passcode: 767891 IBM Security,noreply@ibmsecurity.in,OTP
Flipkrat Email Verification,It Seems you are registering for flipkrat and trying to verify your email. Here is the verification code. Please copy it and verify your email. code: 198055,noreply@flipkrat.in,OTP
OTP for Pickup,"Hey, Customer This is your OTP code :) 000123 This is the OTP for starting your Cashify pickup process. Please do not share this with anyone until the pickup executive reaches your location. Team Cashify",support@cashify.in,OTP
OTP Request,"Dear Customer,Your OTP is 263546. Do not share it with anyone by any means. This is confidential and to be used by you only.Warm regards,State Bank of India (SBI)",<yonobysbi@alerts.sbi.co.in>,OTP
Verify your Login,Below is your one time passcode: 156908 IBM Security,noreply@ibmsecurity.in,OTP
Zomato Login,190220 is the OTP to login to your Zomato account. DO NOT disclose it to anyone. AlOe4TVDpqm,noreply@zomato.com,OTP
Account Recovery,OTP 211987 Enter the OTP to recovery your lost google account,noreply@google.com,OTP
OTP for Pickup,"Hey, Customer This is your OTP code :) 211345 This is the OTP for starting your Cashify pickup process. Please do not share this with anyone until the pickup executive reaches your location. Team Cashify",support@cashify.in,OTP
Your One-Time Passcode from McDonald’s,"Hello,567340 is your one-time passcode (OTP) for the McDonald’s app.You can tap on the code to have it automatically applied. If this doesn’t work, please either Copy and Paste or enter the code manually when prompted in the App.The code was requested from the McDonald’s App on xiaomi Redmi Y2.It will be valid for 4 hours.Enjoy the app!McDonald’s team",noreply@mcdonalds.com via sendgrid.net,OTP
OTP Request,"Dear Customer,Your OTP is 123456. Do not share it with anyone by any means. This is confidential and to be used by you only.Warm regards,State Bank of India (SBI)",<yonobysbi@alerts.sbi.co.in>,OTP
Email Verification for DBT,"OTP for Email Verfication is 047023. Your OTP is valid for 30 minutes.Thanks and Regards,Please do not reply to this e-mail, this is a system generated email sent from an unattended mail box.",<dbt-noreply@mahaonline.gov.in>,OTP
Verify your Login,Below is your one time passcode: 109845 IBM Security,noreply@ibmsecurity.in,OTP
Zomato Login,799023 is the OTP to login to your Zomato account. DO NOT disclose it to anyone. AlOe4TVDpqm,noreply@zomato.com,OTP
Account Recovery,OTP 999110 Enter the OTP to recovery your lost google account,noreply@google.com,OTP
OTP for Pickup,"Hey, Customer This is your OTP code :) 899129 This is the OTP for starting your Cashify pickup process. Please do not share this with anyone until the pickup executive reaches your location. Team Cashify",support@cashify.in,OTP
Flipkrat Email Verification,It Seems you are registering for flipkrat and trying to verify your email. Here is the verification code. Please copy it and verify your email. code: 456999,noreply@flipkrat.in,OTP
Zomato Login,190745 is the OTP to login to your Zomato account. DO NOT disclose it to anyone. AlOe4TVDpqm,noreply@zomato.com,OTP
310708 is your Kite 2FA OTP,"ite — 2FA OTP to login to your account PV4196 is.557892 If you did not initiate this login request, someone may be trying to gain access to your account. If you need help, please visit our Support Portal.",noreply@alertsmailer.zerodha.ne,OTP
Email Verification for DBT,"OTP for Email Verfication is 123987. Your OTP is valid for 30 minutes.Thanks and Regards,Please do not reply to this e-mail, this is a system generated email sent from an unattended mail box.",<dbt-noreply@mahaonline.gov.in>,OTP
Account Recovery,OTP 110098 Enter the OTP to recovery your lost google account,noreply@google.com,OTP
OTP for Pickup,"Hey, Customer This is your OTP code :) 192802 This is the OTP for starting your Cashify pickup process. Please do not share this with anyone until the pickup executive reaches your location. Team Cashify",support@cashify.in,OTP
Your One-Time Passcode from McDonald’s,"Hello,157999 is your one-time passcode (OTP) for the McDonald’s app.You can tap on the code to have it automatically applied. If this doesn’t work, please either Copy and Paste or enter the code manually when prompted in the App.The code was requested from the McDonald’s App on xiaomi Redmi Y2.It will be valid for 4 hours.Enjoy the app!McDonald’s team",noreply@mcdonalds.com via sendgrid.ne,OTP
Email Verification for DBT,"OTP for Email Verfication is 378922. Your OTP is valid for 30 minutes.Thanks and Regards,Please do not reply to this e-mail, this is a system generated email sent from an unattended mail box.",<dbt-noreply@mahaonline.gov.in>,OTP
Verify your Login,Below is your one time passcode: 769901 IBM Security,noreply@ibmsecurity.in,OTP
NPM Verification Code,"Hi, monatheoctocat! You are trying to log in to npm using your username and password and as an additional security measure you are requested to enter the OTP code (one-time password) provided in this email. The OTP code is: 12345976",noreply@npm.in,OTP
Mobile Login OTP.,"Hi Prasad bhopi, Please provide this OTP for verification.Your otp for verifying mobile number is 741230. Otp is valid for the 5 minute(s).",help.in@maxfashion.com,OTP
Commutree Login,Please enter the below mentioned OTP for logging into the commutree account 281474,noreply@commutree.com,OTP
OTP for Pickup,"Hey, Customer This is your OTP code :) 819002 This is the OTP for starting your Cashify pickup process. Please do not share this with anyone until the pickup executive reaches your location. Team Cashify",support@cashify.in,OTP
Zomato Login,110345 is the OTP to login to your Zomato account. DO NOT disclose it to anyone. AlOe4TVDpqm,noreply@zomato.com,OTP
Account Recovery,OTP 769267 Enter the OTP to recovery your lost google account,noreply@google.com,OTP
Verify your Login,Below is your one time passcode: 126790 IBM Security,noreply@ibmsecurity.in,OTP
Your One-Time Passcode from McDonald’s,"Hello,899278 is your one-time passcode (OTP) for the McDonald’s app.You can tap on the code to have it automatically applied. If this doesn’t work, please either Copy and Paste or enter the code manually when prompted in the App.The code was requested from the McDonald’s App on xiaomi Redmi Y2.It will be valid for 4 hours.Enjoy the app!McDonald’s team",noreply@mcdonalds.com via sendgrid.ne,OTP
Email Verification for DBT,"OTP for Email Verfication is 109858. Your OTP is valid for 30 minutes.Thanks and Regards,Please do not reply to this e-mail, this is a system generated email sent from an unattended mail box.",<dbt-noreply@mahaonline.gov.in>,OTP
NPM Verification Code,"Hi, monatheoctocat! You are trying to log in to npm using your username and password and as an additional security measure you are requested to enter the OTP code (one-time password) provided in this email. The OTP code is: 97419203",noreply@npm.in,OTP
